品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
2,1.196791746066577,1.0777718110871286,1.083070828674641,1.0442682566736514,1.0799211920263705,1.0408594156320126,1.0568572042698139,1.4497455853692414,1,17,1,7,4,5,1,30,6,7,6,9,21,8,14,0,0,1
1,1.5743265484488331,1.1651458192524737,1.083070828674641,1.286799441372473,1.0799211920263705,1.0408594156320126,1.0568572042698139,2.183704626554814,1,12,1,4,3,3,0,28,6,4,5,8,15,7,10,0,0,1
1,1.625659137524616,1.7346892394131537,1.323807144337695,1.8986653346991973,1.0799211920263705,1.4203890643419899,1.3518768842186328,2.514177305661103,1,10,4,2,3,2,0,24,5,2,4,7,14,7,9,0,0,1
1,1.5694345426697482,1.164025975279726,1.083070828674641,1.2836789207380284,1.0799211920263705,1.0408594156320126,1.0568572042698139,2.1740784029978832,1,11,1,4,3,3,0,28,6,4,4,7,13,7,9,0,0,1
1,0.9887490346580952,1.0288962799716455,1.083070828674641,0.9092375819756222,1.0799211920263705,1.0408594156320126,1.0568572042698139,1.0519892638512596,2,25,1,6,3,4,0,32,6,7,5,7,24,11,15,0,0,1
1,0.9887490346580952,1.0288962799716455,1.083070828674641,0.9092375819756222,1.0799211920263705,1.0408594156320126,1.0568572042698139,1.0519892638512596,2,30,1,5,2,3,0,32,6,6,3,5,29,12,21,0,0,1
2,1.0995897271771529,1.0288962799716455,1.083070828674641,1.151363337882702,1.0799211920263705,1.4707042014837832,1.2309634936848322,1.0519892638512596,2,29,1,6,2,3,0,31,6,5,5,4,23,15,18,0,0,1
1,0.9887490346580952,1.0288962799716455,1.083070828674641,0.9092375819756222,1.0799211920263705,1.0408594156320126,1.0568572042698139,1.0519892638512596,2,29,1,5,2,3,0,32,6,6,3,5,23,12,15,0,0,1
1,1.6979274110725595,1.3993113031417543,1.1724824049126121,1.5799547501347162,1.0799211920263705,1.1819316976451888,1.1666465928084793,2.514177305661103,1,10,2,3,3,2,0,26,6,3,4,8,13,6,8,0,0,1
1,1.46078263152936,2.1568142081783006,1.5193186889623238,2.264171730017496,1.0799211920263705,1.7284646250780864,1.590311575930633,2.365576566162674,1,10,6,2,3,2,0,23,4,2,4,7,15,8,9,0,0,1
1,1.2618612404073801,1.5353588346508686,1.3348955745490327,1.6827461123484053,0.8844105384711357,1.4378571307607362,1.0831552090751948,1.8027371277404962,1,10,4,3,3,2,0,26,5,2,4,6,17,9,13,0,0,1
2,0.5880383172635586,1.04952283051976,1.5490133104161843,1.55128814695517,0.11180994528314307,1.0082247128797905,1.3812716878777629,1.4672170183216224,1,5,1,2,3,2,0,27,4,3,5,8,10,6,9,0,0,1
1,0.707879552329652,1.3293960102281732,0.7322848527636622,0.8681482744406395,0.49387175389000937,0.7770656456658547,0.6783837800512764,1.4026638191413496,2,10,1,7,5,5,1,35,6,9,6,3,22,11,14,8,0,1
2,0.8110461310178414,1.1147444988206565,0.8604963362354371,0.8832769191713519,0.5587410427924522,0.8740258511329303,0.6018510033321273,1.2727342300215092,1,10,1,6,4,4,0,33,6,7,5,4,21,11,16,5,0,1
2,0.9585764853207887,1.0681492458855077,1.0451174320513976,0.9048418558607777,1.0274513118674713,1.01255359329705,1.031876791185913,1.0891917191995926,2,15,1,8,3,5,1,32,6,8,3,4,18,11,13,1,0,1
1,0.7653413577564863,1.2093767687752457,0.8036101481469659,0.8765777257934785,0.5300308817585739,0.831076717986398,0.6357493894379297,1.3301413443005832,2,10,1,7,4,4,1,34,6,8,5,3,21,11,15,6,0,1
1,0.7181330243281291,1.307893289602356,0.7449968141714106,0.8696527980311078,0.5003290761023393,0.7867041635149582,0.670775021678433,1.389695450824181,2,10,1,7,4,5,1,34,6,8,5,3,21,11,14,7,0,1
2,0.8560989486289167,1.2026099997588398,0.916711195387075,0.8898733868965281,0.850066708666881,0.916348978095026,0.9469771769994125,1.2163956317891311,2,13,1,8,4,5,1,33,6,9,4,4,19,11,13,4,0,1
