品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
2,90.47990864700441,89.27249909296545,88.91893392,89.91305198516923,88.86999791,88.88277078,88.88352277,92.0006012685824,1,17,1,7,4,5,1,30,6,7,6,9,21,8,14,0,0,1
1,93.25139855159173,89.9055669075293,88.91893392,91.76031970735329,88.86999791,88.88277078,88.88352277,97.56817403683675,1,12,1,4,3,3,0,28,6,4,5,8,15,7,10,0,0,1
1,93.6222356114136,93.93134846339159,90.80656651229799,96.29416626503502,88.86999791,91.81110745853142,91.08561316963149,99.98036497,1,10,4,2,3,2,0,24,5,2,4,7,14,7,9,0,0,1
1,93.21598010793326,89.89747657435328,88.91893392,91.7367124239091,88.86999791,88.88277078,88.88352277,97.49702286212725,1,11,1,4,3,3,0,28,6,4,4,7,13,7,9,0,0,1
1,88.92278981,88.91681971,88.91893392,88.87519312,88.86999791,88.88277078,88.88352277,88.87254642,2,25,1,6,3,4,0,32,6,7,5,7,24,11,15,0,0,1
1,88.92278981,88.91681971,88.91893392,88.87519312,88.86999791,88.88277078,88.88352277,88.87254642,2,30,1,5,2,3,0,32,6,6,3,5,29,12,21,0,0,1
2,89.75471682396226,88.91681971,88.91893392,90.73173815932171,88.86999791,92.19464392681289,90.18740022101865,88.87254642,2,29,1,6,2,3,0,31,6,5,5,4,23,15,18,0,0,1
1,88.92278981,88.91681971,88.91893392,88.87519312,88.86999791,88.88277078,88.88352277,88.87254642,2,29,1,5,2,3,0,32,6,6,3,5,23,12,15,0,0,1
1,94.1417777149682,91.58288491148454,89.62489627341276,93.95696822459271,88.86999791,89.97794971555984,89.70709030496131,99.98036497,1,10,2,3,3,2,0,26,6,3,4,8,13,6,8,0,0,1
1,92.42589386529406,96.79239908215634,92.30779318842863,98.90594941204576,88.86999791,94.14000194596525,92.83692688643559,98.90300400577414,1,10,6,2,3,2,0,23,4,2,4,7,15,8,9,0,0,1
1,90.9628738967824,92.5434491571904,90.89248587756124,94.71675134002189,87.41157484129505,91.94439654758568,89.08118921160482,94.71393068403836,1,10,4,3,3,2,0,26,5,2,4,6,17,9,13,0,0,1
2,85.8865827027129,89.06705456316395,92.53323806878146,93.74408435222153,81.64642284215226,88.6284739645872,91.30298543369184,92.13638112347783,1,5,1,2,3,2,0,27,4,3,5,8,10,6,9,0,0,1
1,86.79698895217187,91.08517871781832,86.10059006709206,88.55837514062172,84.46072088657853,86.8200275359092,86.01999947194001,91.63397138451654,2,10,1,7,5,5,1,35,6,9,6,3,22,11,14,8,0,1
2,87.57999095825849,89.54083118055306,87.1386783163006,88.67506956780855,84.95178616957149,87.57980335979087,85.43966903542395,90.61684822412644,1,10,1,6,4,4,0,33,6,7,5,4,21,11,16,5,0,1
2,88.69550084675284,89.20255838691966,88.61759880197022,88.84131918970886,88.48045949091953,88.66222388744042,88.69554449142173,89.16779581504966,2,15,1,8,3,5,1,32,6,8,3,4,18,11,13,1,0,1
1,87.23330766009781,90.22460911926021,86.67905259986576,88.62340174501931,84.73436127078855,87.24340372551342,85.69661712519955,91.06719140222637,2,10,1,7,4,4,1,34,6,8,5,3,21,11,15,6,0,1
1,86.87487250222304,90.93156574137637,86.20384650511683,88.56998248797186,84.5095661095142,86.89560082684201,85.96227523337195,91.53280029944314,2,10,1,7,4,5,1,34,6,8,5,3,21,11,14,7,0,1
2,87.92129112796327,90.17586416272506,87.59116718972528,88.72593511795128,87.1535827891851,87.91097954530846,88.0552379489594,90.1734977543278,2,13,1,8,4,5,1,33,6,9,4,4,19,11,13,4,0,1
2,88.25877835499163,88.20203046698812,88.03860094074095,88.77623240753012,85.37749251831352,88.2384558914376,84.93657838790882,89.73510031437485,1,10,1,6,3,3,0,31,6,5,4,4,20,11,17,2,0,1
2,88.8070424464849,87.12066631608333,88.76547840263495,88.8579427525951,85.72134024686484,88.77045682959732,84.53022650493911,89.02290277064807,1,10,1,5,3,2,0,30,6,4,4,4,20,11,18,0,0,1
1,87.18845644300961,91.0971548857233,86.61958976189085,88.61671735973543,85.89761654891605,87.19988292971675,87.44915043554927,91.12545333682867,2,12,1,8,4,6,1,34,6,9,5,3,20,11,13,6,0,1
2,88.08248511759228,89.97321746723236,87.80487492632899,88.74995860721376,87.42984456181276,88.06739203892042,88.18855268740836,89.96410603005012,2,14,1,8,4,5,1,33,6,9,4,4,19,11,13,3,0,1
1,86.98226659142105,90.71974789687465,86.34622742006249,88.5859879280918,84.57691907718713,86.99980928603644,85.88267893837008,91.39329489005316,2,10,1,7,4,5,1,34,6,8,5,3,21,11,15,7,0,1
1,86.20045438820362,92.26174873628145,85.30971658747329,88.469470822755,84.08659998753483,86.24118797191103,86.462127539574,92.40887249111499,2,10,1,8,5,6,1,36,6,10,6,3,22,11,13,10,0,1
1,87.29826020646063,90.95911394593877,86.76516537430474,88.63308192480585,86.08580335663746,87.30642958501622,87.53996312675984,90.98281774964518,2,12,1,8,4,6,1,34,6,9,5,3,20,11,13,6,0,1
2,87.79659826626192,89.11360754629872,87.42585191149338,88.7073515613864,85.08763298500261,87.78998544696024,85.2791281777645,90.3354743477284,1,10,1,6,4,4,0,32,6,6,5,4,21,11,16,4,0,1
1,86.72412527001424,91.68089363453346,86.00398886855879,88.54751592750858,85.10182414230583,86.749325208569,87.06512750129448,91.72862163840828,2,11,1,8,5,6,1,35,6,10,5,3,21,11,13,8,0,1
1,87.19615364258959,90.29788953871287,86.62979455367132,88.61786450915388,84.71105986417636,87.20735180732754,85.72415422859297,91.11545463963238,2,10,1,7,4,4,1,34,6,8,5,3,21,11,15,6,0,1
1,86.25478859173874,92.15458311886736,85.38175177739807,88.47756850157177,84.12067607013456,86.29391046040398,86.42185715481102,92.33829211406955,2,10,1,8,5,6,1,36,6,10,6,3,22,11,13,9,0,1
2,88.56627366313408,87.59554463660841,88.44627201129774,88.82205986207988,85.57034039014295,88.53682996872934,84.7086749023318,89.3356625132048,1,10,1,5,3,3,0,31,6,5,4,4,20,11,17,1,0,1
1,86.39264916418556,81.05112109453688,88.0877583341537,89.69144450028247,87.24952736370032,84.44452657721332,88.88085998272086,84.76955472,2,38,1,20,3,5,1,39,6,14,6,3,39,34,35,12,0,1
