目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
27,1,0.37939315149527625,1.4011742831637122,0.536740900014047,-0.09688479654071289,-0.6757939265587742,-0.9049274103724998,-0.6015805270406641,0.8011512675775496,1,8,2,2,4,4,0.0,24,6,1,7,9,34.0,14,8,18,25,0
34,1,-1.0606642209312782,-1.0167076053615023,-0.9366511045170197,-1.2844226537110006,-1.1215809042068516,-0.9345879306730112,-1.2197185681456477,-1.1330932152892035,2,5,1,3,2,3,0.0,31,5,5,2,2,15.0,10,10,40,0,0
40,1,0.06422372228095592,-0.378818353211063,0.5219102128888318,1.5229344491769798,-0.7262073831827045,-0.33523993368352845,0.7152464457114923,-0.4248259360240788,1,30,2,1,2,3,0.0,31,6,8,2,3,24.0,14,12,0,20,0
41,1,0.20932507622068727,0.4357314149806872,0.9022506809257992,0.7063520597970705,0.2168356265635989,0.27784483378000585,-0.3534737798747999,1.187597787991265,2,25,3,2,3,2,0.0,26,5,1,6,5,23.0,12,10,0,25,0
50,1,0.10866903412303412,0.7888225356349392,0.9022506809257992,0.277959299290185,1.0741517068744555,0.6196641724370361,0.9460988588979166,0.3595215148245922,2,36,1,5,2,3,0.0,37,6,13,5,4,20.0,12,14,0,0,0
59,1,1.0418472699294228,1.0406234751065553,-0.29524303144692593,1.5229344491769798,0.9557320302837058,0.8925266950454905,1.6650543374085598,1.2241926982032445,1,20,1,3,3,2,0.0,31,6,7,5,2,40.0,20,20,0,0,0
505,1,0.3153922193824982,0.28613348240911335,1.281258685178796,-0.2072908509726116,0.9129392522525978,-0.07970136948169941,0.4594747904054046,0.838041529197308,2,33,3,3,2,3,0.0,34,5,10,5,6,32.0,12,10,18,30,0
508,1,-0.8529983547825821,1.2132753032826056,0.5219102128888318,1.1678942859507542,1.766450987444764,0.5614790908060036,-0.3734574658053998,-0.05388312087291695,2,24,2,1,1,1,0.0,25,6,3,7,9,50.0,25,35,25,10,0
520,1,-0.22533016341947684,-0.40263726696486085,0.13970342250042317,-0.2072908509726116,-0.007911314311577928,-0.07970136948169941,-0.09931290274365544,-0.05388312087291695,1,6,1,6,4,4,0.0,41,6,14,5,3,26.0,7,7,43,23,0
525,1,-0.6488493374135911,-0.4840322758621949,-0.627776188858202,-0.9184717799561795,0.02067533194131377,-0.3920880598697322,-0.3480650636419026,-0.4248259360240788,2,6,1,3,2,3,0.0,31,5,8,6,2,33.0,23,28,20,15,0
537,1,-0.6645563453936347,-0.3985181725449972,0.13970342250042317,-0.6048056179299874,0.3787017432356712,0.3154962722349235,-0.352148482087454,-0.05388312087291695,2,30,2,5,3,2,0.0,33,5,8,5,2,30.0,10,10,30,20,0
538,1,0.1534265957065092,0.36826799157654194,0.536740900014047,0.6532331899104784,0.5907400487508783,0.8574880490644123,0.4386856767094459,1.106351050008164,1,10,2,3,3,2,0.0,37,5,13,3,4,36.0,20,15,32,12,0
550,1,-0.6488493374135911,-0.40263726696486085,0.536740900014047,-0.2072908509726116,-0.6970542303648509,-0.7305071511780511,-0.5891757148995398,-1.1619906599669596,2,28,1,9,2,3,0.0,29,6,5,5,4,20.0,16,15,0,0,0
554,1,-1.0439454567036581,-0.847328659737202,-1.2180982158151756,-0.961880650748461,-0.9971812984503474,-0.9345879306730112,-0.820030263268297,-1.4003854372801838,1,8,2,10,1,1,0.0,32,5,8,4,2,20.0,15,10,0,0,0
556,1,-0.08572568682286806,-0.12012626373214495,-0.627776188858202,0.22720389918898612,0.9376532765858557,0.8925266950454905,0.4815605688049265,-0.10773144900326735,1,15,1,11,1,1,0.0,31,6,8,7,9,28.0,20,20,10,5,0
563,1,0.8108915581996673,0.3637857079153906,0.13970342250042317,-0.2072908509726116,-0.6913637772338835,-0.6478461889136202,-0.3667742366204601,-0.4248259360240788,1,20,1,10,4,4,0.0,35,6,11,5,5,50.0,40,40,10,5,0
