客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,是否会购买？
1 ,1 ,89.84,87.65,88.92,88.88,88.87,91.63,99.99,99.98,1,8,2,5,3,5,1,1989,6,9,4,7,36 ,20,24,0,0,
2 ,1 ,85.04,87.65,81.56,88.88,85.63,86.14,84.31,81.44,1,13,2,9,2,3,0,1986,4,7,7,9,60 ,55,50,10,10,
3 ,1 ,76.29,74.61,66.69,88.88,66.65,77.77,71.24,74.44,1,5,2,3,4,1,1,1990,6,6,2,2,30 ,13,15,30,10,
4 ,1 ,82.80,85.91,81.56,78.66,79.54,86.14,82.16,77.76,1,10,1,5,5,3,2,1985,5,12,4,7,25 ,15,10,30,10,
5 ,1 ,88.92,91.35,88.92,88.88,88.87,88.88,91.16,88.87,2,36,1,10,3,5,1,1984,5,12,2,3,46 ,20,20,0,30,
6 ,2 ,88.92,84.50,81.56,84.72,79.54,83.06,80.05,84.77,2,35,1,10,4,5,2,1985,5,13,4,2,44 ,28,28,0,0,
7 ,2 ,87.07,87.65,81.56,85.19,82.61,83.60,84.49,84.77,2,32,1,5,3,5,1,1988,5,9,4,5,25 ,15,18,10,0,
8 ,2 ,82.80,83.24,77.81,85.61,84.02,83.60,82.15,81.09,1,25,2,20,4,4,0,1980,6,21,3,2,15 ,8,10,30,10,
9 ,2 ,82.41,88.92,85.17,85.61,85.63,83.60,82.35,85.54,2,38,1,8,4,4,0,1982,5,14,7,9,10 ,5,5,30,10,
10 ,2 ,68.54,59.23,55.58,62.97,57.32,61.38,68.95,55.90,1,5,2,4,1,1,0,1990,6,6,4,5,13 ,45,40,0,0,
11 ,3 ,88.80,82.63,81.56,81.03,80.84,75.03,80.05,74.44,2,40,1,15,4,5,2,1980,6,17,5,1,70 ,65,56,0,0,
12 ,3 ,84.67,85.63,85.17,81.45,84.08,83.60,84.44,85.54,2,30,1,3,4,5,2,1990,6,7,5,4,37 ,23,34,0,0,
13 ,3 ,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2,29,2,8,5,6,1,1990,8,4,4,2,22 ,6,7,30,20,
14 ,3 ,76.89,77.80,74.05,77.77,74.69,77.77,77.77,77.76,2,48,1,16,3,5,1,1971,5,25,7,3,70 ,50,50,0,0,
15 ,3 ,83.58,81.09,70.44,81.45,74.69,80.85,75.43,73.66,2,35,2,13,4,5,2,1985,6,13,5,6,60 ,55,46,0,0,
